Gene_pairs,Score
"('AARS2', 'MAPKAP1')",-2.63570290365
"('AARS2', 'MARS')",1.12576096825
"('AARS2', 'MARS2')",1.44728505809
"('AARS2', 'MASTL')",-2.41011572493
"('AARS2', 'MAT2A')",0.489300309409
"('AARS2', 'MAX')",-2.344572987
"('AARS2', 'MBTPS2')",2.31780243808
"('AARS2', 'MCM3')",-0.552411353036
"('AARS2', 'MCM3AP')",-1.07114479816
"('AARS2', 'MCM4')",-1.58240057643
"('AARS2', 'MED1')",-0.492880427353
"('AARS2', 'MED14')",-1.67759330817
"('AARS2', 'MED17')",-0.118528792195
"('AARS2', 'MED22')",1.08709868694
"('AARS2', 'MED23')",0.560658045648
"('AARS2', 'MED24')",-1.16747353807
"('AARS2', 'MED28')",-1.02584889359
"('AARS2', 'MED9')",-0.294427660382
"('AARS2', 'METAP2')",-0.317061443455
"('AARS2', 'METTL17')",1.13811493956
"('AARS2', 'MFAP1')",0.246905501314
"('AARS2', 'MINOS1')",-0.756785259413
"('AARS2', 'MINOS1-NBL1')",1.61991627053
"('AARS2', 'MPHOSPH6')",0.0639790097405
"('AARS2', 'MRP63')",2.10839092692
"('AARS2', 'MRPL10')",2.5622029121
"('AARS2', 'MRPL13')",1.45698941808
"('AARS2', 'MRPL15')",0.861218464683
"('AARS2', 'MRPL16')",1.28541467302
"('AARS2', 'MRPL18')",0.861755801849
"('AARS2', 'MRPL19')",1.74342275
"('AARS2', 'MRPL22')",2.38099661339
"('AARS2', 'MRPL24')",1.46817607893
"('AARS2', 'MRPL27')",2.69607196886
"('AARS2', 'MRPL3')",2.33484098521
"('AARS2', 'MRPL32')",2.2691938603
"('AARS2', 'MRPL33')",1.60922839871
"('AARS2', 'MRPL36')",2.79584588861
"('AARS2', 'MRPL37')",2.53580449462
"('AARS2', 'MRPL39')",2.63773983972
"('AARS2', 'MRPL42')",1.90585477875
"('AARS2', 'MRPL43')",2.51202131551
"('AARS2', 'MRPL46')",2.04693659745
"('AARS2', 'MRPL50')",1.27178150414
"('AARS2', 'MRPS10')",2.60625544543
"('AARS2', 'MRPS11')",2.29660737581
"('AARS2', 'MRPS14')",-0.0436791540586
"('AARS2', 'MRPS16')",3.30476262732
"('AARS2', 'MRPS18A')",1.93570680304
"('AARS2', 'MRPS18B')",2.04149274897
"('AARS2', 'MRPS21')",0.981480877382
"('AARS2', 'MRPS23')",1.61694810895
"('AARS2', 'MRPS25')",2.47575619478
"('AARS2', 'MRPS27')",1.45314620937
"('AARS2', 'MRPS28')",2.4351151664
"('AARS2', 'MRPS30')",2.2073806624
"('AARS2', 'MRPS35')",2.65752694274
"('AARS2', 'MRPS5')",3.16141596861
"('AARS2', 'MRPS9')",2.653222235
"('AARS2', 'MTBP')",0.323965983168
"('AARS2', 'MTERFD1')",1.17007914621
"('AARS2', 'MTHFD2')",0.50580494413
"('AARS2', 'MTOR')",-1.02425340866
"('AARS2', 'MTPAP')",1.9367855408
"('AARS2', 'MZT1')",0.0139976196958
"('AARS2', 'NAA25')",-0.863980947506
"('AARS2', 'NAA50')",-0.510287094438
"('AARS2', 'NACA')",0.297002175303
"('AARS2', 'NAMPT')",-0.328870937536
"('AARS2', 'NAT10')",-0.0664035994772
"('AARS2', 'NCAPD2')",0.875133660298
"('AARS2', 'NCBP1')",-0.218705209288
"('AARS2', 'NDUFA2')",-0.398393480622
"('AARS2', 'NDUFA8')",1.87333313224
"('AARS2', 'NDUFA9')",1.61413687827
"('AARS2', 'NDUFB1')",2.49572245547
"('AARS2', 'NDUFB2')",1.1823989131
"('AARS2', 'NDUFB4')",1.40874584367
"('AARS2', 'NEMF')",0.763628359232
"('AARS2', 'NFE2L1')",-1.78642977137
"('AARS2', 'NFYC')",0.25049490009
"('AARS2', 'NIP7')",-0.812857957047
"('AARS2', 'NOC2L')",-1.02243033842
"('AARS2', 'NOL10')",0.112858353514
"('AARS2', 'NOL8')",-0.0263171062311
"('AARS2', 'NOL9')",1.85600666496
"('AARS2', 'NOLC1')",0.721568322039
"('AARS2', 'NOP58')",-0.372745638341
"('AARS2', 'NSMCE1')",0.110079627528
"('AARS2', 'NSMCE4A')",-0.6975778626
"('AARS2', 'NUBP1')",1.581971328
"('AARS2', 'NUDC')",1.01026935843
"('AARS2', 'NUP43')",0.139534513867
"('AARS2', 'NUP54')",-2.18823595158
"('AARS2', 'NUP85')",0.289709417061
"('AARS2', 'NUTF2')",-0.0300387167492
"('AARS2', 'OGFOD1')",-0.518323257426
"('AARS2', 'OPA1')",-1.0639861444
"('AARS2', 'ORAOV1')",1.15921068474
"('AARS2', 'PAFAH1B1')",-0.970263933996
"('AARS2', 'PAXBP1')",0.158170520659
"('AARS2', 'PDCD7')",-1.02842065345
"('AARS2', 'PDRG1')",0.740242896735
"('AARS2', 'PDSS2')",0.097649918986
"('AARS2', 'PELO')",0.586423136805
"('AARS2', 'PET112')",2.99091622747
"('AARS2', 'PFAS')",0.18123653137
"('AARS2', 'PGD')",-2.14270661579
"('AARS2', 'PGK1')",-2.03357116989
"('AARS2', 'PHF5A')",-0.725571390587
"('AARS2', 'PITRM1')",0.330929965751
"('AARS2', 'PMF1')",-0.608098667306
"('AARS2', 'PMPCB')",-0.814617620726
"('AARS2', 'PMVK')",0.923301308626
"('AARS2', 'PNISR')",-1.51154796985
"('AARS2', 'PNN')",-1.01485314876
"('AARS2', 'POLA1')",-0.931057198002
"('AARS2', 'POLD1')",-0.575548971223
"('AARS2', 'POLD3')",0.381453495219
"('AARS2', 'POLE')",-0.373055443006
"('AARS2', 'POLE2')",-0.915558186593
"('AARS2', 'POLN')",-0.840579963779
"('AARS2', 'POLR2B')",-1.10373494216
"('AARS2', 'POLR2K')",-1.16214490694
"('AARS2', 'POLR3A')",-1.42899964558
"('AARS2', 'POLR3B')",0.00298099743609
"('AARS2', 'PPAT')",-0.464646411507
"('AARS2', 'PPCS')",0.144784415248
"('AARS2', 'PPIE')",1.08258231714
"('AARS2', 'PPP2R1A')",-0.289712013865
"('AARS2', 'PPP2R2A')",0.768415932347
"('AARS2', 'PPWD1')",-0.101496953859
"('AARS2', 'PRIM2')",-0.389639453929
"('AARS2', 'PRMT5')",-0.35792864723
"('AARS2', 'PRPF18')",-0.630316698365
"('AARS2', 'PSMB6')",-3.91748897267
"('AARS2', 'PSMB7')",-0.352381853298
"('AARS2', 'PSMC1')",-1.29264335928
"('AARS2', 'PSMC2')",-0.441361842594
"('AARS2', 'PSMC6')",-1.95411644024
"('AARS2', 'PSMD1')",-1.07709245539
"('AARS2', 'PSMD12')",-2.50610540468
"('AARS2', 'PSMD4')",-1.02165251823
"('AARS2', 'PSMD6')",-1.87102217166
"('AARS2', 'PSPH')",0.379412337605
"('AARS2', 'PTCD1')",2.85283227513
"('AARS2', 'PTCD3')",1.28526836118
"('AARS2', 'PTTG1')",-1.39277492619
"('AARS2', 'PWP1')",-0.217007072257
"('AARS2', 'QARS')",0.342612211826
"('AARS2', 'RAD51')",-1.02222980249
"('AARS2', 'RAE1')",-1.55187661952
"('AARS2', 'RBBP8')",-1.36678495735
"('AARS2', 'RBFA')",2.71810860293
"('AARS2', 'RBM17')",-1.95448323413
"('AARS2', 'RBM22')",0.346882768058
"('AARS2', 'RBM25')",-0.115781540078
"('AARS2', 'REXO2')",-1.02691411423
"('AARS2', 'RFC4')",-0.10253964221
"('AARS2', 'RFC5')",-0.132426901842
"('AARS2', 'RINT1')",0.458906248836
"('AARS2', 'RNF20')",-0.316717388738
"('AARS2', 'RNGTT')",-2.10431768367
"('AARS2', 'ROMO1')",-0.671544437809
"('AARS2', 'RPA3')",0.651613208187
"('AARS2', 'RPF2')",0.251563729528
"('AARS2', 'RPL10')",-0.60858145684
"('AARS2', 'RPL11')",0.5019048365
"('AARS2', 'RPL13')",-1.13695962149
"('AARS2', 'RPL23')",0.276746831746
"('AARS2', 'RPL24')",-0.575624617903
"('AARS2', 'RPL27')",-0.384574591187
"('AARS2', 'RPL28')",0.216618265767
"('AARS2', 'RPL3')",0.120786790505
"('AARS2', 'RPL30')",0.60276997564
"('AARS2', 'RPL32')",0.117360424964
"('AARS2', 'RPL35')",0.631230875387
"('AARS2', 'RPL36A')",1.67316229564
"('AARS2', 'RPL5')",0.222657315519
"('AARS2', 'RPL8')",-1.23442947641
"('AARS2', 'RPLP1')",0.592166908985
"('AARS2', 'RPLP2')",-0.254940358139
"('AARS2', 'RPP30')",0.464750360722
"('AARS2', 'RPP38')",-0.251332469677
"('AARS2', 'RPS18')",-0.0596668600284
"('AARS2', 'RPS27A')",-0.478495034046
"('AARS2', 'RPS28')",-0.293099402887
"('AARS2', 'RPSA')",-0.62263865505
"('AARS2', 'RPTOR')",-1.54866543002
"('AARS2', 'RRM1')",1.01363868437
"('AARS2', 'RTF1')",1.16539011986
"('AARS2', 'SAP18')",-0.246614816638
"('AARS2', 'SCO1')",1.68228435288
"('AARS2', 'SCYL1')",0.404390743333
"('AARS2', 'SDHC')",2.6606463989
"('AARS2', 'SEC22B')",0.463764397405
"('AARS2', 'SEH1L')",-0.917319014163
"('AARS2', 'SF3B1')",-0.760200766551
"('AARS2', 'SFXN1')",0.334622025298
"('AARS2', 'SGOL1')",-0.141299148166
"('AARS2', 'SKA3')",1.20844033579
"('AARS2', 'SKIV2L')",-0.135478582863
"('AARS2', 'SKIV2L2')",-0.344096528628
"('AARS2', 'SLC35A1')",-0.197407619974
"('AARS2', 'SLC39A9')",0.0817998586627
"('AARS2', 'SLC7A1')",0.737194146502
"('AARS2', 'SLC7A6OS')",-1.18303016147
"('AARS2', 'SMC5')",-0.0112817165892
"('AARS2', 'SMNDC1')",-0.549232555691
"('AARS2', 'SNAPC1')",1.07004549233
"('AARS2', 'SNIP1')",0.0277481347261
